id;pcode;space;start;end;activity
14;1,01E+13;100100;635;640;33
14;1,01E+13;*;640;660;100
14;1,01E+13;100107;660;660;52
14;1,01E+13;*;660;685;100
14;1,01E+13;100100;685;1200;1
14;1,01E+13;*;1200;1245;121
14;1,01E+13;20100;1245;1360;53
14;1,01E+13;*;1360;1380;121
14;1,01E+13;100100;1380;1740;1
15;1,01E+13;100100;240;480;1
15;1,01E+13;*;480;495;121
15;1,01E+13;280300;495;720;11
15;1,01E+13;*;720;755;100
15;1,01E+13;110805;755;825;53
15;1,01E+13;*;825;855;100
15;1,01E+13;280300;855;1110;11
15;1,01E+13;*;1110;1125;121
15;1,01E+13;240400;1125;1130;35
15;1,01E+13;*;1130;1140;121
15;1,01E+13;100100;1140;1740;1
16;1,01E+13;100100;240;455;1
16;1,01E+13;*;455;475;133
16;1,01E+13;20505;475;950;11
16;1,01E+13;*;950;1000;133
16;1,01E+13;120400;1000;1080;51
16;1,01E+13;*;1080;1110;133
16;1,01E+13;100100;1110;1740;1
17;1,01E+13;100100;240;560;1
17;1,01E+13;*;560;565;100
17;1,01E+13;100100;565;565;64
17;1,01E+13;*;565;600;133
17;1,01E+13;20500;600;670;51
17;1,01E+13;*;670;700;133
17;1,01E+13;100100;700;960;1
17;1,01E+13;*;960;965;100
17;1,01E+13;100100;965;985;33
17;1,01E+13;*;985;990;100
17;1,01E+13;100100;990;1740;1
18;1,01E+13;100100;240;585;1
18;1,01E+13;*;585;595;121
18;1,01E+13;110805;595;645;32
18;1,01E+13;*;645;655;121
18;1,01E+13;100100;655;750;1
18;1,01E+13;*;750;770;121
18;1,01E+13;310300;770;1265;11
18;1,01E+13;*;1265;1285;121
18;1,01E+13;100100;1285;1740;1
19;1,01E+13;100100;240;1020;1
19;1,01E+13;*;1020;1065;131
19;1,01E+13;80401;1065;1185;54
19;1,01E+13;*;1185;1210;131
19;1,01E+13;100100;1210;1740;1
20;1,01E+13;100100;240;270;1
20;1,01E+13;*;270;360;121
20;1,01E+13;953208;360;370;33
20;1,01E+13;*;370;635;121
20;1,01E+13;928134;635;695;32
20;1,01E+13;*;695;1020;121
20;1,01E+13;100100;1020;1740;1
21;1,01E+13;100100;240;450;1
